Layer,Weights(KB),MACs,Weight_Sparsity(0-1),Activation_Sparsity(0-1),Activations(KB)
features.0,13.5,86704128,0.3431712962962963,0.312503736846301,25088.0
features.3,288.0,1849688064,0.408203125,0.03125031140385842,25088.0
features.7,576.0,924844032,0.22074381510416666,0.15625062280771684,12544.0
features.10,1152.0,1849688064,0.2311740451388889,0.03906623684630102,12544.0
features.14,2304.0,924844032,0.11216905381944445,0.035158741230867346,6272.0
features.17,4608.0,1849688064,0.08336046006944445,3.736846301020408e-06,6272.0
features.20,4608.0,1849688064,0.04490831163194445,1.2456154336734693e-06,6272.0
features.24,9216.0,924844032,0.0504608154296875,7.473692602040816e-06,3136.0
features.27,18432.0,1849688064,0.06200832790798611,4.982461734693877e-06,3136.0
features.30,18432.0,1849688064,0.0697313944498698,4.982461734693877e-06,3136.0
features.34,18432.0,462422016,0.05397076076931424,0.0,784.0
features.37,18432.0,462422016,0.051366170247395836,0.0,784.0
features.40,18432.0,462422016,0.06241395738389757,0.00390625,784.0
classifier.0,802816.0,102760448,0.2153863322978117,0.034912109375,32.0
classifier.3,131072.0,16777216,0.1416109800338745,0.020751953125,32.0
classifier.6,32000.0,4096000,0.063052734375,0.0,7.8125
